ID,DRIVING_EXPERIENCE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS
966467,30y+,5,2,4
288712,30y+,3,0,7
228114,0-9y,0,0,0
63715,20-29y,5,1,5
624077,30y+,10,0,1
726352,10-19y,1,0,1
792396,30y+,1,2,2
768933,0-9y,0,0,0
579336,10-19y,0,0,2
648922,0-9y,0,0,0
47909,10-19y,1,0,4
619577,30y+,2,0,0
212678,20-29y,1,0,1
995884,20-29y,2,1,1
226326,10-19y,0,0,1
943922,10-19y,8,0,0
510116,0-9y,0,0,0
536546,0-9y,0,0,0
75592,10-19y,0,0,1
936820,10-19y,1,0,0
634050,10-19y,1,0,2
558748,30y+,1,0,0
856630,0-9y,0,0,0
200009,30y+,5,1,3
792252,20-29y,2,0,1
462586,10-19y,3,0,1
577965,30y+,4,0,6
896587,30y+,0,0,0
431538,0-9y,0,0,0
164516,0-9y,0,0,0
479577,20-29y,4,0,0
938476,10-19y,1,0,1
112454,0-9y,0,0,0
91246,10-19y,3,0,1
2743,10-19y,0,0,0
248888,0-9y,0,0,0
195523,0-9y,0,0,0
981926,20-29y,2,1,0
593426,20-29y,2,2,1
235574,30y+,5,0,2
440993,0-9y,0,0,0
446993,0-9y,0,0,0
301242,10-19y,1,0,1
7722,0-9y,0,0,0
123443,10-19y,2,0,0
112143,0-9y,0,0,0
912138,10-19y,6,1,3
601305,0-9y,0,0,0
602274,0-9y,0,0,0
352099,10-19y,0,0,1
660400,0-9y,0,0,0
267614,0-9y,0,0,0
974380,20-29y,3,0,0
346585,10-19y,0,1,0
536135,10-19y,2,0,0
75569,20-29y,2,0,0
645135,10-19y,0,0,2
421596,30y+,6,2,10
164636,10-19y,0,0,0
405100,10-19y,1,0,1
315223,20-29y,2,0,0
628723,20-29y,1,0,4
483693,0-9y,0,0,0
416795,20-29y,5,0,0
712973,0-9y,0,0,0
755061,0-9y,0,0,0
162614,30y+,1,0,5
466761,0-9y,0,0,0
498232,0-9y,0,0,0
170391,20-29y,2,0,2
918640,20-29y,3,1,0
273764,20-29y,1,0,1
344228,0-9y,0,0,0
809278,10-19y,3,0,0
128369,20-29y,3,1,1
194925,0-9y,0,0,0
303507,0-9y,0,0,0
244931,0-9y,0,0,0
570030,0-9y,0,0,0
918038,10-19y,0,1,0
102325,0-9y,0,0,0
761911,0-9y,0,0,0
271656,10-19y,1,0,0
820690,30y+,8,0,5
622930,0-9y,0,0,0
81394,0-9y,0,0,0
373844,0-9y,0,0,0
368392,0-9y,0,0,0
447175,0-9y,0,0,0
182095,20-29y,5,0,0
451696,0-9y,0,0,0
617007,10-19y,4,0,2
560773,10-19y,1,0,1
438008,20-29y,1,0,4
212573,0-9y,0,0,0
492516,30y+,5,0,4
538225,0-9y,0,0,0
658402,30y+,5,0,3
325516,0-9y,0,0,0
905750,20-29y,7,0,1
107029,20-29y,2,0,3
124204,0-9y,0,0,0
968669,30y+,4,1,2
993267,10-19y,0,1,0
423938,30y+,11,1,5
125168,0-9y,0,0,0
525386,10-19y,2,0,1
500215,30y+,2,0,3
572994,20-29y,0,1,1
319953,0-9y,0,0,0
487355,0-9y,0,0,0
232470,0-9y,0,0,0
565198,0-9y,0,0,0
371727,10-19y,1,0,1
613091,20-29y,5,0,2
88882,10-19y,0,0,2
351757,10-19y,0,1,2
735929,0-9y,0,0,0
224890,20-29y,5,0,1
864601,0-9y,0,0,0
485798,0-9y,0,0,0
733833,0-9y,0,0,0
750465,0-9y,0,0,0
660556,30y+,6,1,6
28109,20-29y,5,1,4
219960,20-29y,1,0,0
76297,0-9y,0,0,0
403707,20-29y,2,1,0
792734,0-9y,0,0,0
519764,30y+,7,0,0
912172,0-9y,0,0,0
560068,10-19y,1,0,1
126077,10-19y,1,0,2
220269,30y+,1,1,3
856902,10-19y,0,0,0
241888,0-9y,0,0,0
908199,10-19y,0,0,0
373218,10-19y,0,0,0
313500,20-29y,1,0,2
919241,10-19y,3,1,4
647888,10-19y,0,0,1
161832,0-9y,0,0,0
476769,20-29y,4,0,3
447424,20-29y,3,2,4
201707,20-29y,4,1,2
903320,0-9y,0,0,0
486639,0-9y,0,0,0
252686,10-19y,2,0,1
233200,0-9y,0,0,0
667165,20-29y,5,0,1
950296,30y+,1,0,0
243888,10-19y,1,0,1
605896,10-19y,2,0,0
871858,0-9y,0,0,0
319494,0-9y,0,0,0
959164,0-9y,0,0,0
675192,10-19y,2,0,1
546719,10-19y,2,1,1
96803,20-29y,1,0,1
37956,10-19y,1,0,0
739932,0-9y,0,0,0
103308,30y+,5,0,4
824793,10-19y,5,0,1
487034,10-19y,0,0,4
253078,10-19y,0,0,0
587387,10-19y,3,0,2
334556,0-9y,0,0,0
732295,20-29y,0,0,3
933941,10-19y,0,0,1
871263,10-19y,0,0,0
864717,30y+,3,1,7
565346,0-9y,0,0,0
718626,10-19y,0,0,1
921816,20-29y,2,0,0
431031,0-9y,0,0,0
200636,10-19y,1,0,0
22475,0-9y,0,0,0
254814,10-19y,3,0,0
799392,0-9y,0,0,0
408048,0-9y,0,0,0
312015,20-29y,0,0,1
280243,20-29y,0,0,1
161784,0-9y,0,0,0
979772,30y+,6,1,1
297613,0-9y,0,0,0
178142,10-19y,1,0,4
622497,0-9y,0,0,0
342957,0-9y,0,0,0
821985,30y+,8,0,5
810334,10-19y,0,0,0
818305,10-19y,1,0,2
586430,10-19y,0,0,4
662672,10-19y,2,0,2
770081,10-19y,2,0,1
787457,10-19y,2,0,1
527739,10-19y,2,0,0
571298,0-9y,0,0,0
701289,20-29y,0,0,1
879256,0-9y,0,0,0
649732,10-19y,1,1,3
855779,20-29y,1,0,2
625532,10-19y,1,0,1
3025,10-19y,2,0,0
683267,0-9y,0,0,0
969959,10-19y,0,2,0
912505,10-19y,2,0,0
298912,30y+,1,1,0
336753,30y+,5,1,5
667341,0-9y,0,0,0
790649,0-9y,0,0,0
967869,20-29y,3,0,0
806032,0-9y,0,0,0
648666,10-19y,2,0,1
21860,0-9y,0,0,0
983493,10-19y,0,0,0
916881,10-19y,3,0,0
381852,0-9y,0,0,0
937208,20-29y,2,1,0
95412,20-29y,1,0,4
157650,0-9y,0,0,0
84004,20-29y,1,1,1
46700,20-29y,4,0,4
650982,10-19y,0,0,2
495635,20-29y,4,1,1
471169,10-19y,3,0,1
725883,10-19y,0,1,0
425246,10-19y,2,1,0
887542,10-19y,1,0,3
541272,20-29y,4,0,3
826670,0-9y,0,0,0
574624,10-19y,3,0,0
453895,20-29y,1,0,3
111851,30y+,3,1,3
47628,10-19y,2,0,0
708828,20-29y,1,0,0
819883,10-19y,3,1,1
232634,0-9y,0,0,0
892258,30y+,13,0,1
243010,0-9y,0,0,0
368602,30y+,3,1,7
623636,10-19y,1,0,2
757103,10-19y,2,0,1
375862,20-29y,4,0,1
732956,10-19y,0,0,3
774402,0-9y,0,0,0
656626,0-9y,0,0,0
816938,0-9y,0,0,0
440294,20-29y,2,0,4
792276,30y+,5,1,2
951251,0-9y,0,0,0
395570,0-9y,0,0,0
736323,0-9y,0,0,0
725583,20-29y,3,0,3
954412,0-9y,0,0,0
931629,0-9y,0,0,0
255230,10-19y,2,1,1
31403,10-19y,1,0,1
136957,0-9y,0,0,0
58535,0-9y,0,0,0
592584,10-19y,0,0,1
263154,10-19y,0,0,0
842364,0-9y,0,0,0
687419,10-19y,1,1,2
306684,0-9y,0,0,0
883009,10-19y,2,1,3
74704,10-19y,0,0,1
142973,0-9y,0,0,0
100513,0-9y,0,0,0
984062,0-9y,0,0,0
538916,0-9y,0,0,0
881409,30y+,6,1,1
967125,30y+,5,0,2
530396,0-9y,0,0,0
456215,0-9y,0,0,0
464357,20-29y,1,2,2
28229,0-9y,0,0,0
577557,10-19y,1,0,1
29218,0-9y,0,0,0
850080,20-29y,1,0,0
851438,10-19y,3,0,0
75241,10-19y,1,0,0
292051,10-19y,2,0,0
155114,0-9y,0,0,0
786259,10-19y,4,1,1
444073,0-9y,0,0,0
55182,10-19y,2,0,0
611274,10-19y,2,0,1
97079,20-29y,7,0,3
178185,0-9y,0,0,0
857849,20-29y,1,0,2
26255,0-9y,0,0,0
787417,0-9y,0,0,0
993623,0-9y,0,0,0
372474,20-29y,1,0,0
106981,10-19y,0,0,1
220243,20-29y,1,0,2
784778,20-29y,7,1,2
278151,10-19y,0,0,2
481388,0-9y,0,0,0
827198,20-29y,6,0,3
55712,0-9y,0,0,0
748080,10-19y,1,1,0
877703,10-19y,1,0,0
402240,0-9y,0,0,0
191449,0-9y,0,0,0
304034,30y+,5,0,6
915799,20-29y,3,1,8
580249,30y+,3,1,4
166102,20-29y,2,1,3
455260,10-19y,1,0,0
137502,20-29y,3,0,4
147076,0-9y,0,0,0
447397,20-29y,1,0,0
968169,10-19y,0,0,0
573424,10-19y,2,0,1
94746,0-9y,0,0,0
858153,20-29y,1,0,1
658967,0-9y,0,0,0
829242,10-19y,2,0,3
57521,20-29y,0,1,0
389871,0-9y,0,0,0
766476,20-29y,2,0,0
37701,10-19y,0,1,1
678182,0-9y,0,0,0
357428,10-19y,1,0,0
16345,0-9y,0,0,0
380072,0-9y,0,0,0
202978,10-19y,0,0,4
444245,0-9y,0,0,0
672478,10-19y,2,0,0
284939,30y+,3,0,5
385568,20-29y,3,0,1
769261,10-19y,0,0,1
559890,0-9y,0,0,0
326316,20-29y,3,0,1
574525,0-9y,0,0,0
44924,10-19y,0,0,1
877892,0-9y,0,0,0
790141,10-19y,2,0,0
236395,10-19y,1,0,1
856269,20-29y,2,0,2
979902,0-9y,0,0,0
734217,30y+,3,2,5
103367,20-29y,4,1,2
946258,10-19y,1,0,2
108490,0-9y,0,0,0
35975,0-9y,0,0,0
286318,20-29y,0,0,3
333970,20-29y,0,0,2
145697,0-9y,0,0,0
826708,10-19y,3,0,0
334482,0-9y,0,0,0
803266,0-9y,0,0,0
19261,0-9y,0,0,0
291075,20-29y,1,0,3
433426,0-9y,0,0,0
289772,0-9y,0,0,0
927179,10-19y,0,1,0
976974,0-9y,0,0,0
615312,10-19y,0,0,1
456321,0-9y,0,0,0
775,30y+,2,0,0
620196,20-29y,1,0,3
510560,10-19y,1,0,0
631945,10-19y,2,0,1
457682,0-9y,0,0,0
202964,10-19y,0,1,2
2375,10-19y,0,1,0
730415,0-9y,0,0,0
749543,0-9y,0,0,0
930990,10-19y,0,0,0
455333,0-9y,0,0,0
738554,0-9y,0,0,0
378210,0-9y,0,0,0
772502,0-9y,0,0,0
994772,20-29y,3,0,1
881849,20-29y,1,0,2
39296,0-9y,0,0,0
603433,10-19y,0,1,0
882026,20-29y,2,1,1
238126,0-9y,0,0,0
110747,10-19y,0,0,3
402988,10-19y,0,0,0
65338,30y+,3,0,1
322984,0-9y,0,0,0
124236,10-19y,0,0,0
245004,10-19y,3,1,0
942949,10-19y,4,1,0
877595,0-9y,0,0,0
623455,0-9y,0,0,0
138425,0-9y,0,0,0
125702,20-29y,7,3,0
911755,20-29y,1,1,2
297583,20-29y,3,0,3
351854,10-19y,0,0,3
908318,10-19y,1,0,1
801470,10-19y,0,1,1
843505,10-19y,0,0,3
74575,10-19y,1,0,0
670220,0-9y,0,0,0
551000,20-29y,2,0,1
741897,0-9y,0,0,0
483174,0-9y,0,0,0
131420,0-9y,0,0,0
271098,0-9y,0,0,0
511051,10-19y,1,2,2
985811,30y+,12,1,1
85826,0-9y,0,0,0
733410,0-9y,0,0,0
701507,0-9y,0,0,0
760210,0-9y,0,0,0
420204,20-29y,2,0,3
856867,0-9y,0,0,0
899785,20-29y,1,0,6
3396,20-29y,1,0,1
442295,0-9y,0,0,0
860165,10-19y,1,0,0
3643,0-9y,0,0,0
732109,10-19y,2,0,0
906608,0-9y,0,0,0
393826,20-29y,2,0,1
189740,10-19y,2,0,0
532841,10-19y,1,0,2
853929,0-9y,0,0,0
43773,30y+,1,0,3
748793,0-9y,0,0,0
664908,20-29y,4,0,4
119593,0-9y,0,0,0
966113,0-9y,0,0,0
89090,10-19y,0,0,2
931351,30y+,1,0,1
538716,10-19y,1,1,1
812013,0-9y,0,0,0
736366,30y+,5,1,1
496206,20-29y,2,1,6
263890,20-29y,1,0,2
373953,0-9y,0,0,0
412526,0-9y,0,0,0
868060,30y+,2,0,3
629030,0-9y,0,0,0
902206,20-29y,1,0,6
586895,20-29y,2,0,2
432813,0-9y,0,0,0
412666,20-29y,6,0,6
857882,30y+,4,1,0
169712,0-9y,0,0,0
805808,10-19y,0,0,1
382504,10-19y,0,0,0
800261,10-19y,0,0,0
457638,0-9y,0,0,0
594430,10-19y,2,0,0
793952,10-19y,4,0,1
20645,20-29y,1,0,0
708649,10-19y,1,0,1
830889,10-19y,1,0,0
724739,0-9y,0,0,0
33697,10-19y,3,0,1
435205,30y+,2,0,1
496098,0-9y,0,0,0
20669,0-9y,0,0,0
527774,0-9y,0,0,0
404128,30y+,15,1,4
439480,20-29y,1,3,1
621010,0-9y,0,0,0
353690,30y+,0,0,2
112838,0-9y,0,0,0
190804,0-9y,0,0,0
663470,10-19y,0,0,0
629803,0-9y,0,0,0
84243,0-9y,0,0,0
899894,10-19y,0,0,0
758470,20-29y,5,1,3
517351,0-9y,0,0,0
812159,30y+,1,0,2
313107,0-9y,0,0,0
981198,10-19y,1,0,0
144973,0-9y,0,0,0
674108,20-29y,4,0,3
107843,0-9y,0,0,0
118824,0-9y,0,0,0
309430,20-29y,3,0,3
211543,0-9y,0,0,0
994291,0-9y,0,0,0
997014,0-9y,0,0,0
517032,10-19y,2,0,1
597978,10-19y,1,1,2
45019,0-9y,0,0,0
462574,0-9y,0,0,0
962015,0-9y,0,0,0
253678,10-19y,1,0,1
692697,10-19y,1,0,0
929521,10-19y,2,0,3
964716,0-9y,0,0,0
563264,0-9y,0,0,0
129280,30y+,0,0,1
415020,0-9y,0,0,0
429468,10-19y,1,0,0
679338,10-19y,6,0,1
451103,20-29y,3,1,3
932826,10-19y,0,0,0
765652,30y+,3,0,4
186,0-9y,0,0,0
62930,10-19y,2,1,0
197936,20-29y,4,0,2
236019,30y+,3,0,6
184376,20-29y,4,0,1
186552,20-29y,5,0,2
519425,30y+,0,0,2
108122,0-9y,0,0,0
936450,20-29y,0,0,1
529009,0-9y,0,0,0
833844,30y+,4,1,5
91848,20-29y,5,1,1
960784,20-29y,3,1,0
342618,0-9y,0,0,0
453418,10-19y,1,0,1
172677,10-19y,1,1,3
350213,0-9y,0,0,0
427060,30y+,0,1,1
202943,0-9y,0,0,0
551323,0-9y,0,0,0
38580,0-9y,0,0,0
193387,0-9y,0,0,0
26228,20-29y,1,0,1
135509,10-19y,1,0,0
818522,20-29y,3,0,2
372874,10-19y,0,0,0
540632,10-19y,2,1,0
45157,0-9y,0,0,0
70979,0-9y,0,0,0
668552,10-19y,0,0,1
621262,20-29y,1,0,1
976455,0-9y,0,0,0
816614,10-19y,3,1,1
558961,10-19y,1,1,2
840221,10-19y,2,0,1
659990,10-19y,1,0,4
518694,10-19y,6,1,1
305388,0-9y,0,0,0
965555,10-19y,1,0,0
589113,30y+,6,0,4
992359,0-9y,0,0,0
956388,0-9y,0,0,0
752140,10-19y,4,1,2
148832,10-19y,1,0,0
789148,20-29y,1,0,4
849512,10-19y,2,0,1
9905,20-29y,0,0,0
989673,30y+,3,2,6
34367,0-9y,0,0,0
894225,0-9y,0,0,0
415401,10-19y,0,0,1
746070,10-19y,1,1,0
588914,0-9y,0,0,0
963221,10-19y,2,0,1
162234,10-19y,0,1,1
278500,20-29y,2,0,4
869386,10-19y,0,0,1
163162,20-29y,1,0,1
202791,0-9y,0,0,0
970398,20-29y,3,1,1
428267,20-29y,7,0,1
894548,0-9y,0,0,0
822297,20-29y,3,1,7
776868,20-29y,1,0,5
247573,10-19y,0,0,1
625221,0-9y,0,0,0
158028,0-9y,0,0,0
10217,30y+,2,0,4
498650,10-19y,0,0,0
897708,10-19y,2,0,0
361846,20-29y,6,0,4
714908,20-29y,1,0,1
938070,10-19y,1,1,0
474190,30y+,10,0,2
944620,0-9y,0,0,0
66528,10-19y,0,0,1
93756,10-19y,1,0,0
938705,10-19y,4,0,4
481169,10-19y,1,0,0
890778,20-29y,4,0,3
275062,0-9y,0,0,0
958992,10-19y,2,0,0
84982,20-29y,1,2,0
1924,30y+,1,1,1
148601,30y+,5,2,4
164381,0-9y,0,0,0
215945,20-29y,1,0,3
472589,30y+,7,1,2
67880,10-19y,1,0,3
873673,10-19y,0,0,0
152123,30y+,0,0,3
489823,0-9y,0,0,0
336494,0-9y,0,0,0
972020,30y+,0,1,0
260201,10-19y,1,0,1
928536,0-9y,0,0,0
615428,10-19y,2,1,1
112063,10-19y,0,1,0
172803,0-9y,0,0,0
54408,0-9y,0,0,0
10119,0-9y,0,0,0
575992,30y+,13,0,1
525723,10-19y,3,0,2
75918,0-9y,0,0,0
222805,20-29y,2,0,3
337651,10-19y,1,0,1
610663,10-19y,0,0,2
514238,20-29y,5,2,1
821534,10-19y,1,0,0
127550,0-9y,0,0,0
509284,10-19y,0,1,0
639522,20-29y,5,0,2
979350,0-9y,0,0,0
396727,10-19y,0,0,0
512169,10-19y,3,0,1
677467,0-9y,0,0,0
725657,10-19y,3,0,0
364101,30y+,1,2,0
912887,0-9y,0,0,0
265974,30y+,7,0,5
134867,20-29y,3,0,1
419303,20-29y,1,0,2
161165,0-9y,0,0,0
491650,0-9y,0,0,0
268752,0-9y,0,0,0
454701,30y+,2,1,2
568053,30y+,10,0,2
294350,10-19y,5,0,0
337986,0-9y,0,0,0
77771,20-29y,7,0,0
573078,0-9y,0,0,0
214200,10-19y,0,0,2
962680,20-29y,0,0,0
720043,10-19y,4,0,0
360562,0-9y,0,0,0
621406,10-19y,5,0,0
702423,10-19y,1,0,3
174068,0-9y,0,0,0
792106,0-9y,0,0,0
499640,10-19y,2,0,0
875043,10-19y,1,0,1
404468,20-29y,0,0,0
772295,0-9y,0,0,0
845482,0-9y,0,0,0
910614,10-19y,2,0,0
333933,0-9y,0,0,0
107725,10-19y,1,0,1
852185,0-9y,0,0,0
971269,0-9y,0,0,0
11119,30y+,0,0,1
392953,0-9y,0,0,0
20975,10-19y,1,0,0
485551,10-19y,4,2,0
658061,0-9y,0,0,0
690368,20-29y,3,0,0
527374,0-9y,0,0,0
683489,0-9y,0,0,0
150186,0-9y,0,0,0
861996,0-9y,0,0,0
505284,30y+,10,0,5
612740,0-9y,0,0,0
285906,0-9y,0,0,0
3526,30y+,4,1,3
897340,10-19y,1,0,0
235870,10-19y,3,0,3
971102,10-19y,0,0,0
25025,10-19y,3,0,1
794286,20-29y,2,0,2
64259,0-9y,0,0,0
693740,0-9y,0,0,0
230558,0-9y,0,0,0
241965,20-29y,4,0,2
989945,0-9y,0,0,0
302233,20-29y,1,0,2
987839,0-9y,0,0,0
450776,10-19y,3,1,2
987471,20-29y,3,0,0
56391,20-29y,4,0,5
783556,0-9y,0,0,0
921160,0-9y,0,0,0
319701,0-9y,0,0,0
352416,0-9y,0,0,0
780703,20-29y,2,0,5
629596,10-19y,0,1,2
692471,10-19y,1,0,0
580439,10-19y,3,0,0
424392,30y+,7,1,1
119547,10-19y,0,0,0
886405,20-29y,4,1,1
369977,10-19y,0,0,0
68534,10-19y,3,0,0
459875,20-29y,0,1,1
754494,0-9y,0,0,0
175718,30y+,3,1,3
3004,10-19y,2,1,2
950709,20-29y,0,0,3
560739,0-9y,0,0,0
501805,30y+,1,2,6
787446,10-19y,0,0,1
804227,20-29y,2,0,3
456117,20-29y,3,0,3
394049,10-19y,1,0,0
723464,10-19y,2,0,3
152145,0-9y,0,0,0
582771,10-19y,0,1,0
183084,10-19y,1,0,2
487840,10-19y,4,1,1
225410,20-29y,3,1,7
318668,10-19y,1,0,1
61366,10-19y,1,0,0
229858,0-9y,0,0,0
349332,0-9y,0,0,0
304669,10-19y,1,0,1
113911,10-19y,2,0,1
999634,20-29y,3,0,3
229092,0-9y,0,0,0
544815,0-9y,0,0,0
863514,10-19y,0,0,2
394693,10-19y,2,0,0
799026,10-19y,1,0,0
684265,20-29y,3,0,2
821544,0-9y,0,0,0
918079,0-9y,0,0,0
52584,20-29y,1,0,0
539433,0-9y,0,0,0
301476,10-19y,0,0,0
52434,10-19y,3,0,0
430430,10-19y,0,0,0
243166,0-9y,0,0,0
585805,0-9y,0,0,0
338722,10-19y,1,0,1
991298,30y+,1,2,1
179037,20-29y,5,0,3
796132,10-19y,1,1,0
653167,0-9y,0,0,0
8023,30y+,4,0,2
979569,0-9y,0,0,0
124969,30y+,3,2,3
958920,20-29y,3,1,1
85377,20-29y,1,0,1
273042,10-19y,0,2,0
50734,0-9y,0,0,0
698147,0-9y,0,0,0
126485,10-19y,0,0,0
583128,30y+,3,0,3
56973,10-19y,0,0,0
430480,0-9y,0,0,0
107735,30y+,8,0,4
88159,0-9y,0,0,0
315441,0-9y,0,0,0
728786,30y+,4,0,2
196793,20-29y,3,0,2
119568,20-29y,0,0,0
506311,20-29y,1,0,4
379364,10-19y,3,0,2
575492,10-19y,0,0,2
754176,10-19y,1,0,1
17198,0-9y,0,0,0
392570,10-19y,2,1,2
555274,0-9y,0,0,0
543431,0-9y,0,0,0
77676,10-19y,0,0,1
4199,20-29y,2,0,2
504565,0-9y,0,0,0
930350,30y+,3,0,4
380681,0-9y,0,0,0
89171,0-9y,0,0,0
655609,0-9y,0,0,0
285118,20-29y,1,1,3
957571,0-9y,0,0,0
527444,0-9y,0,0,0
291974,30y+,7,1,1
757656,0-9y,0,0,0
474539,30y+,3,0,0
39393,10-19y,2,0,0
448500,20-29y,0,1,5
168210,20-29y,3,0,2
293414,30y+,3,1,0
987686,30y+,5,0,5
90377,20-29y,4,0,1
961510,0-9y,0,0,0
940764,30y+,2,0,1
484012,0-9y,0,0,0
543794,0-9y,0,0,0
975005,0-9y,0,0,0
810066,20-29y,1,1,0
875302,10-19y,1,0,0
471505,30y+,4,0,2
596870,20-29y,5,1,3
256936,30y+,3,1,7
708087,0-9y,0,0,0
297877,20-29y,0,0,1
362618,20-29y,4,1,7
742122,10-19y,0,0,0
466641,10-19y,1,0,1
913740,0-9y,0,0,0
810638,20-29y,2,1,0
156883,10-19y,1,1,2
920995,10-19y,2,0,0
918219,0-9y,0,0,0
403373,20-29y,4,1,3
688045,30y+,1,0,1
205298,20-29y,0,0,5
902646,10-19y,2,0,1
634221,10-19y,3,0,0
638975,10-19y,0,0,1
33022,20-29y,0,1,5
410028,20-29y,6,0,3
932163,30y+,5,1,5
740024,0-9y,0,0,0
210356,0-9y,0,0,0
928462,30y+,9,1,5
76372,10-19y,1,0,2
555049,0-9y,0,0,0
497652,20-29y,4,0,0
899312,0-9y,0,0,0
950731,0-9y,0,0,0
236351,20-29y,0,0,1
32500,10-19y,0,1,0
808629,0-9y,0,0,0
838435,30y+,7,1,2
532912,20-29y,1,1,1
542130,30y+,2,2,3
450129,20-29y,5,1,1
695062,20-29y,2,1,1
288263,10-19y,2,0,3
48803,0-9y,0,0,0
995592,10-19y,2,0,2
660862,10-19y,1,0,1
449821,10-19y,3,0,1
56322,0-9y,0,0,0
616720,20-29y,0,0,1
261156,0-9y,0,0,0
443277,20-29y,0,1,2
723400,30y+,2,2,1
604099,30y+,3,0,6
765690,0-9y,0,0,0
128270,10-19y,0,0,0
753061,0-9y,0,0,0
826642,0-9y,0,0,0
920132,0-9y,0,0,0
664407,10-19y,2,0,1
555224,20-29y,5,2,0
257691,30y+,3,1,5
230575,10-19y,1,1,0
501841,10-19y,0,0,3
825504,0-9y,0,0,0
758277,0-9y,0,0,0
27119,0-9y,0,0,0
980778,0-9y,0,0,0
381,30y+,3,0,0
122326,0-9y,0,0,0
434285,0-9y,0,0,0
612545,0-9y,0,0,0
348325,0-9y,0,0,0
608974,20-29y,0,1,1
848442,0-9y,0,0,0
718343,20-29y,5,1,6
529364,10-19y,3,0,0
180078,10-19y,2,1,2
674553,0-9y,0,0,0
263926,0-9y,0,0,0
104366,10-19y,0,1,1
748101,10-19y,0,0,1
769972,30y+,1,2,5
759594,10-19y,4,0,0
524877,0-9y,0,0,0
222065,0-9y,0,0,0
501483,0-9y,0,0,0
313291,10-19y,2,0,3
545223,10-19y,0,0,3
227825,10-19y,2,0,0
727008,0-9y,0,0,0
368897,20-29y,0,0,1
341327,10-19y,1,0,5
10147,10-19y,2,0,1
